Title;Rating;Image;Genres;Year;List
Beastars;7.83/10;https://cdn.myanimelist.net/images/anime/1234/102008.jpg;Drama, Anthropomorphic, Psychological, School, Shounen;Oct 10, 2019 to Dec 26, 2019;Currently Watching
Beastars 2nd Season;7.80/10;https://cdn.myanimelist.net/images/anime/1097/109646.jpg;Drama, Anthropomorphic, Psychological, School, Shounen;Jan 7, 2021 to Mar 25, 2021;Currently Watching
Bleach: Sennen Kessen-hen;9.05/10;https://cdn.myanimelist.net/images/anime/1908/135431.jpg;Action, Adventure, Fantasy, Shounen;Oct 11, 2022 to Dec 27, 2022;Currently Watching
Bleach: Sennen Kessen-hen - Ketsubetsu-tan;8.96/10;https://cdn.myanimelist.net/images/userimages/5868483.jpg?t=1695278400;Action, Adventure, Fantasy, Shounen;Jul 8, 2023 to Sep 30, 2023;Currently Watching
Jujutsu Kaisen 2nd Season;8.82/10;https://cdn.myanimelist.net/images/anime/1792/138022.jpg;Action, Fantasy, School, Shounen;Jul 6, 2023 to ?;Currently Watching
Mushoku Tensei II: Isekai Ittara Honki Dasu;8.50/10;https://cdn.myanimelist.net/images/anime/1898/138005.jpg;Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation;Jul 10, 2023 to Sep 25, 2023;Currently Watching
Shingeki no Kyojin: The Final Season - Kanketsu-hen;9.03/10;https://cdn.myanimelist.net/images/anime/1279/131078.jpg;Action, Drama, Suspense, Gore, Military, Survival, Shounen;Mar 4, 2023 to Nov 5, 2023;Currently Watching
Tokyo Ghoul;7.79/10;https://cdn.myanimelist.net/images/anime/1498/134443.jpg;Action, Fantasy, Horror, Gore, Psychological, Seinen;Jul 4, 2014 to Sep 19, 2014;Currently Watching
"""Oshi no Ko""";8.77/10;https://cdn.myanimelist.net/images/userimages/4150781.jpg?t=1695422400;Drama, Supernatural, Reincarnation, Showbiz, Seinen;Apr 12, 2023 to Jun 28, 2023;Completed
Angel Beats!;8.06/10;https://cdn.myanimelist.net/images/anime/1244/111115.jpg;Drama, Supernatural, School;Apr 3, 2010 to Jun 26, 2010;Completed
Asobi Asobase;8.19/10;https://cdn.myanimelist.net/images/userimages/6448140.jpg?t=1695398400;Comedy, Gag Humor, School, Seinen;Jul 8, 2018 to Sep 23, 2018;Completed
Shingeki no Kyojin;8.54/10;https://cdn.myanimelist.net/images/anime/10/47347.jpg;Action, Award Winning, Drama, Suspense, Gore, Military, Survival, Shounen;Apr 7, 2013 to Sep 29, 2013;Completed
Shingeki no Kyojin Season 3 Part 2;9.05/10;https://cdn.myanimelist.net/images/anime/1517/100633.jpg;Action, Drama, Gore, Military, Survival, Shounen;Apr 29, 2019 to Jul 1, 2019;Completed
Boku no Kokoro no Yabai Yatsu;8.26/10;https://cdn.myanimelist.net/images/anime/1545/133887.jpg;Comedy, Romance, School, Shounen;Apr 2, 2023 to Jun 18, 2023;Completed
Chainsaw Man;8.55/10;https://cdn.myanimelist.net/images/anime/1806/126216.jpg;Action, Fantasy, Gore, Shounen;Oct 12, 2022 to Dec 28, 2022;Completed
Death Note;8.62/10;https://cdn.myanimelist.net/images/userimages/13854475.jpg?t=1694911800;Supernatural, Suspense, Detective, Psychological, Shounen;Oct 4, 2006 to Jun 27, 2007;Completed
Boku dake ga Inai Machi;8.30/10;https://cdn.myanimelist.net/images/userimages/4246269.jpg?t=1690216200;Mystery, Supernatural, Suspense, Psychological, Time Travel, Seinen;Jan 8, 2016 to Mar 25, 2016;Completed
Fate/stay night: Unlimited Blade Works 2nd Season;8.32/10;https://cdn.myanimelist.net/images/anime/1881/124810.jpg;Action, Fantasy, Supernatural;Apr 5, 2015 to Jun 28, 2015;Completed
Fate/Zero 2nd Season;8.55/10;https://cdn.myanimelist.net/images/userimages/13459893.jpg?t=1695226200;Action, Fantasy, Supernatural;Apr 8, 2012 to Jun 24, 2012;Completed
Gosick;8.05/10;https://cdn.myanimelist.net/images/userimages/7385330.jpg?t=1695415800;Drama, Mystery, Romance, Historical;Jan 8, 2011 to Jul 2, 2011;Completed
Kimetsu no Yaiba;8.49/10;https://cdn.myanimelist.net/images/userimages/887295.jpg?t=1695405600;Action, Award Winning, Fantasy, Historical, Shounen;Apr 6, 2019 to Sep 28, 2019;Completed
Haikyuu!!;8.44/10;https://cdn.myanimelist.net/images/userimages/2293999.jpg?t=1695350400;Sports, School, Team Sports, Shounen;Apr 6, 2014 to Sep 21, 2014;Completed
Horimiya;8.20/10;https://cdn.myanimelist.net/images/userimages/11534875.jpg?t=1695376200;Romance, School, Shounen;Jan 10, 2021 to Apr 4, 2021;Completed
Hyouka;8.07/10;https://cdn.myanimelist.net/images/userimages/39613.jpg?t=1693109400;Mystery, Slice of Life, School;Apr 23, 2012 to Sep 17, 2012;Completed
Jujutsu Kaisen;8.63/10;https://cdn.myanimelist.net/images/userimages/17189194.jpg?t=1695407400;Action, Award Winning, Fantasy, School, Shounen;Oct 3, 2020 to Mar 27, 2021;Completed
Kaguya-sama wa Kokurasetai: Ultra Romantic;9.04/10;https://cdn.myanimelist.net/images/anime/1160/122627.jpg;Comedy, Romance, School, Seinen;Apr 9, 2022 to Jun 25, 2022;Completed
Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai;8.15/10;https://cdn.myanimelist.net/images/anime/1265/119435.jpg;Comedy, School, Seinen;Oct 21, 2021;Completed
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen;8.64/10;https://cdn.myanimelist.net/images/anime/1764/106659.jpg;Comedy, Psychological, Romantic Subtext, School, Seinen;Apr 11, 2020 to Jun 27, 2020;Completed
Kaichou wa Maid-sama!;8.01/10;https://cdn.myanimelist.net/images/userimages/93378.jpg?t=1608420600;Comedy, Romance, School, Shoujo;Apr 2, 2010 to Sep 24, 2010;Completed
Kami nomi zo Shiru Sekai II;7.88/10;https://cdn.myanimelist.net/images/anime/11/30030.jpg;Comedy, Romance, Supernatural, Harem, Otaku Culture, Shounen;Apr 12, 2011 to Jun 28, 2011;Completed
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu;8.44/10;https://cdn.myanimelist.net/images/userimages/366694.jpg?t=1695289200;Adventure, Comedy, Fantasy, Isekai, Parody, Reincarnation;Aug 30, 2019;Completed
Xian Wang de Richang Shenghuo;7.33/10;https://cdn.myanimelist.net/images/anime/1925/105508.jpg;Adventure, Comedy, Fantasy, Mythology, School;Jan 18, 2020 to Mar 28, 2020;Completed
Made in Abyss;8.66/10;https://cdn.myanimelist.net/images/anime/6/86733.jpg;Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore, Survival;Jul 7, 2017 to Sep 29, 2017;Completed
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;8.69/10;https://cdn.myanimelist.net/images/anime/1028/117777.jpg;Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation;Oct 4, 2021 to Dec 20, 2021;Completed
No Game No Life: Zero;8.19/10;https://cdn.myanimelist.net/images/userimages/13722689.jpg?t=1695421800;Drama, Fantasy, Romance, Isekai;Jul 15, 2017;Completed
No Game No Life;8.08/10;https://cdn.myanimelist.net/images/anime/1074/111944.jpg;Comedy, Fantasy, Ecchi, Isekai, Strategy Game;Apr 9, 2014 to Jun 25, 2014;Completed
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season;8.34/10;https://cdn.myanimelist.net/images/anime/1444/108005.jpg;Drama, Fantasy, Suspense, Isekai, Psychological, Time Travel;Jul 8, 2020 to Sep 30, 2020;Completed
ReLIFE: Kanketsu-hen;8.20/10;https://cdn.myanimelist.net/images/userimages/887295.jpg?t=1695405600;Drama, Romance, School;Mar 21, 2018;Completed
Spy x Family;8.59/10;https://cdn.myanimelist.net/images/anime/1441/122795.jpg;Action, Award Winning, Comedy, Childcare, Shounen;Apr 9, 2022 to Jun 25, 2022;Completed
"Steins;Gate";9.07/10;https://cdn.myanimelist.net/images/userimages/3704997.jpg?t=1613242800;Drama, Sci-Fi, Suspense, Psychological, Time Travel;Apr 6, 2011 to Sep 14, 2011;Completed
Karakai Jouzu no Takagi-san 2;8.05/10;https://cdn.myanimelist.net/images/userimages/6578185.jpg?t=1695414000;Comedy, Romantic Subtext, School, Shounen;Jul 7, 2019 to Sep 22, 2019;Completed
5-toubun no Hanayome âˆ¬;8.07/10;https://cdn.myanimelist.net/images/anime/1775/109514.jpg;Comedy, Romance, Harem, School, Shounen;Jan 8, 2021 to Mar 26, 2021;Completed
Tsuki ga Kirei;8.06/10;https://cdn.myanimelist.net/images/userimages/5217795.jpg?t=1645571400;Romance, School;Apr 7, 2017 to Jun 30, 2017;Completed
Vinland Saga;8.74/10;https://cdn.myanimelist.net/images/anime/1500/103005.jpg;Action, Adventure, Drama, Gore, Historical, Seinen;Jul 8, 2019 to Dec 30, 2019;Completed
Shigatsu wa Kimi no Uso;8.65/10;https://cdn.myanimelist.net/images/userimages/236056.jpg?t=1679320200;Drama, Romance, Love Polygon, Music, School, Shounen;Oct 10, 2014 to Mar 20, 2015;Completed
Kimi no Na wa.;8.84/10;https://cdn.myanimelist.net/images/userimages/2669141.jpg?t=1695304200;Award Winning, Drama, Supernatural, Romantic Subtext;Aug 26, 2016;Completed
Black Clover;8.15/10;https://cdn.myanimelist.net/images/userimages/11534875.jpg?t=1695376200;Action, Comedy, Fantasy, Shounen;Oct 3, 2017 to Mar 30, 2021;On Hold
Fate/Grand Order: Zettai Majuu Sensen Babylonia;7.94/10;https://cdn.myanimelist.net/images/anime/1194/103420.jpg;Action, Fantasy, Supernatural, Isekai;Oct 5, 2019 to Mar 21, 2020;On Hold
Made in Abyss: Retsujitsu no Ougonkyou;8.65/10;https://cdn.myanimelist.net/images/anime/1864/122519.jpg;Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore, Survival;Jul 6, 2022 to Sep 28, 2022;On Hold
Fullmetal Alchemist: Brotherhood;9.10/10;https://cdn.myanimelist.net/images/anime/1208/94745.jpg;Action, Adventure, Drama, Fantasy, Military, Shounen;Apr 5, 2009 to Jul 4, 2010;Dropped
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto;8.14/10;https://cdn.myanimelist.net/images/anime/1384/136408.jpg;Action, Comedy, Horror, Supernatural, Adult Cast, Survival, Seinen;Jul 9, 2023 to ?;Dropped
"Steins;Gate 0";8.53/10;https://cdn.myanimelist.net/images/userimages/15654629.jpg?t=1695418200;Drama, Sci-Fi, Suspense, Time Travel;Apr 12, 2018 to Sep 27, 2018;Plan to Watch
